Province,City,LatLng
Abra,Bangued,17.600; 120.617
Abra,Boliney,17.400; 120.800
Abra,Bucay,17.533; 120.717
Abra,Bucloc,17.450; 120.850
Abra,Daguioman,17.450; 120.917
Abra,Danglas,17.700; 120.650
Abra,Dolores,17.64667; 120.71083
Abra,La Paz,17.70556; 120.69306
Abra,Lacub,17.667; 120.950
Abra,Lagangilang,17.617; 120.783
Abra,Lagayan,17.717; 120.700
Abra,Langiden,17.583; 120.567
Abra,Licuan-Baay,17.62694; 120.83222
Abra,Luba,17.34917; 120.69111
Abra,Malibcong,17.567; 120.983
Abra,Manabo,17.467; 120.700
Abra,Peñarrubia,17.567; 120.650
Abra,Pidigan,17.567; 120.583
Abra,Pilar,17.41750; 120.59417
Abra,Sallapadan,17.467; 120.767
Abra,San Isidro,17.467; 120.600
Abra,San Juan,17.717; 120.750
Abra,San Quintin,17.54306; 120.51917
Abra,Tayum,17.617; 120.650
Abra,Tineg,17.767; 120.933
Abra,Tubo,17.167; 120.717
Abra,Villaviciosa,17.433; 120.633
Agusan del Norte,Butuan City,8.95; 125.53
Agusan del Norte,Buenavista,8.967; 125.417
Agusan del Norte,Cabadbaran,9.117; 125.533
Agusan del Norte,Carmen,8.983; 125.300
Agusan del Norte,Jabonga,9.350; 125.517
Agusan del Norte,Kitcharao,9.450; 125.567
Agusan del Norte,Las Nieves,8.733; 125.600
Agusan del Norte,Magallanes,9.017; 125.517
Agusan del Norte,Nasipit,""
Agusan del Norte,Remedios T. Romualdez,9.05361; 125.58667
Agusan del Norte,Santiago,9.267; 125.567
Agusan del Norte,Tubay,9.167; 125.533
Agusan del Sur,Bayugan,8.717; 125.750
Agusan del Sur,Bunawan,8.167; 126.000
Agusan del Sur,Esperanza,8.683; 125.650
Agusan del Sur,La Paz,8.267; 125.800
Agusan del Sur,Loreto,8.183; 125.850
Agusan del Sur,Prosperidad,8.600; 125.917
Agusan del Sur,Rosario,8.383; 126.000
Agusan del Sur,San Francisco,8.500; 125.983
Agusan del Sur,San Luis,8.47806; 125.74389
Agusan del Sur,Santa Josefa,7.983; 126.033
Agusan del Sur,Sibagat,8.817; 125.700
Agusan del Sur,Talacogon,8.450; 125.783
Agusan del Sur,Trento,8.050; 126.067
Agusan del Sur,Veruela,8.033; 125.900
Aklan,Altavas,11.533; 122.483
Aklan,Balete,11.550; 122.383
Aklan,Banga,11.633; 122.333
Aklan,Batan,11.583; 122.500
Aklan,Buruanga,11.850; 121.900
Aklan,Ibajay,11.817; 122.167
Aklan,Kalibo,11.700; 122.367
Aklan,Lezo,11.667; 122.333
Aklan,Libacao,11.483; 122.300
Aklan,Madalag,11.517; 122.300
Aklan,Makato,11.700; 122.283
Aklan,Malay,11.9; 121.9083
Aklan,Malinao,11.650; 122.300
Aklan,Nabas,11.833; 122.083
Aklan,New Washington,11.650; 122.433
Aklan,Numancia,11.700; 122.333
Aklan,Tangalan,11.767; 122.250
Albay,Legazpi City,13.13; 123.73
Albay,Ligao City,13.217; 123.517
Albay,Tabaco City,13.35944; 123.73028
Albay,Bacacay,13.300; 123.800
Albay,Camalig,13.133; 123.667
Albay,Daraga,13.16194; 123.69389
Albay,Guinobatan,13.183; 123.600
Albay,Jovellar,13.067; 123.600
Albay,Libon,13.300; 123.433
Albay,Malilipot,13.317; 123.733
Albay,Malinao,13.400; 123.700
Albay,Manito,13.117; 123.867
Albay,Oas,13.25889; 123.49528
Albay,Pio Duran,13.033; 123.450
Albay,Polangui,13.29222; 123.48556
Albay,Rapu-Rapu,13.183; 124.133
Albay,Santo Domingo,13.23500; 123.77694
Albay,Tiwi,13.450; 123.683
Antique,Anini-y,10.433; 121.933
Antique,Barbaza,11.200; 122.050
Antique,Belison,10.717; 122.267
Antique,Bugasong,11.050; 122.067
Antique,Caluya,11.900; 121.517
Antique,Culasi,11.417; 122.067
Antique,Hamtic,10.700; 121.983
Antique,Laua-an,11.150; 122.050
Antique,Libertad,11.783; 121.917
Antique,Pandan,11.717; 122.100
Antique,Patnongon,10.917; 121.983
Antique,San Jose,10.750; 121.950
Antique,San Remigio,10.88; 122.12
Antique,Sebaste,11.583; 122.100
Antique,Sibalom,10.783; 122.017
Antique,Tibiao,11.283; 122.050
Antique,Tobias Fornier,10.517; 121.950
Antique,Valderrama,11.000; 122.133
Apayao,Calanasan,18.250; 121.033
Apayao,Conner,17.800; 121.333
Apayao,Flora,18.117; 121.400
Apayao,Kabugao,18.017; 121.183
Apayao,Luna,18.32583; 121.35361
Apayao,Pudtol,18.150; 121.283
Apayao,Santa Marcela,18.283; 121.433
Aurora,Baler,15.767; 121.567
Aurora,Casiguran,16.28333; 122.04444
Aurora,Dilasag,16.400; 122.217
Aurora,Dinalungan,16.10000; 121.77389
Aurora,Dingalan,15.383; 121.400
Aurora,Dipaculao,15.983; 121.633
Aurora,Maria Aurora,15.783; 121.467
Aurora,San Luis,15.717; 121.517
Basilan,Isabela City,6.7; 121.97
Basilan,Akbar,6.650; 122.217
Basilan,Al-Barka,6.467; 122.183
Basilan,Hadji Mohammad Ajul,6.617; 122.300
Basilan,Hadji Muhtamad,6.633; 121.617
Basilan,Lamitan,6.650; 122.133
Basilan,Lantawan,6.650; 121.867
Basilan,Maluso,6.550; 121.883
Basilan,Sumisip,6.417; 121.983
Basilan,Tabuan-Lasa,6.350; 121.967
Basilan,Tipo-Tipo,6.533; 122.167
Basilan,Tuburan,6.600; 122.200
Basilan,Ungkaya Pukan,6.500; 122.117
Bataan,Balanga City,""
Bataan,Abucay,14.733; 120.533
Bataan,Bagac,14.600; 120.400
Bataan,Dinalupihan,14.883; 120.467
Bataan,Hermosa,14.833; 120.500
Bataan,Limay,14.567; 120.600
Bataan,Mariveles,14.433; 120.483
Bataan,Morong,14.683; 120.267
Bataan,Orani,14.800; 120.533
Bataan,Orion,14.617; 120.583
Bataan,Pilar,14.667; 120.567
Bataan,Samal,14.767; 120.550
Batanes,Basco,20.4496778; 121.9698694
Batanes,Itbayat,20.767; 121.850
Batanes,Ivana,20.367; 121.917
Batanes,Mahatao,20.417; 121.950
Batanes,Sabtang,20.333; 121.867
Batanes,Uyugan,20.350; 121.933
Batangas,Batangas City,13.750; 121.050
Batangas,Lipa City,13.9411; 121.1622
Batangas,Tanauan City,14.083; 121.150
Batangas,Agoncillo,13.933; 120.933
Batangas,Alitagtag,13.867; 121.000
Batangas,Balayan,13.933; 120.733
Batangas,Balete,14.02722; 121.09806
Batangas,Bauan,13.80194; 121.01306
Batangas,Calaca,13.967; 120.800
Batangas,Calatagan,13.833; 120.633
Batangas,Cuenca,13.91667; 121.04472
Batangas,Ibaan,13.817; 121.133
Batangas,Laurel,14.050; 120.900
Batangas,Lemery,13.92; 120.88
Batangas,Lian,14.033; 120.650
Batangas,Lobo,13.650; 121.250
Batangas,Mabini,13.717; 120.900
Batangas,Malvar,14.04056; 121.15444
Batangas,Mataas na Kahoy,13.967; 121.083
Batangas,Nasugbu,14.067; 120.633
Batangas,Padre Garcia,13.883; 121.217
Batangas,Rosario,13.850; 121.200
Batangas,San Jose,13.87722; 121.10500
Batangas,San Juan,13.833; 121.400
Batangas,San Luis,13.833; 120.933
Batangas,San Nicolas,13.917; 120.950
Batangas,San Pascual,13.80750; 121.04194
Batangas,Santa Teresita,13.883; 120.967
Batangas,Santo Tomas,14.10917; 121.14194
Batangas,Taal,13.89417; 120.92917
Batangas,Talisay,14.100; 121.017
